action_id,recommendation_id,action_title,action_text,action_owner,effort_level,dependency,phase,action_deliverable,success_measure,indicative_timeline,workstream_type
ACT-D03-03-02,REC-D03-03-02,Remove execution friction in Proposal and Quoting,"Diagnose where proposal and quoting breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Sales Leadership,High,"WF-D03-03 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for proposal and quoting covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in proposal and quoting over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D03-03-03,REC-D03-03-03,Build KPI and exception control for Proposal and Quoting,"Define the small set of KPIs, service thresholds, and exception categories required to manage proposal and quoting well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Sales Leadership,Medium,"WF-D03-03 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for proposal and quoting covering quote turnaround time, proposal acceptance rate, and quote rework rate, thresholds, owners, and escalation rules.",Management can review trusted KPIs for proposal and quoting regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D03-04-01,REC-D03-04-01,Define the operating standard for Pricing and Discount Approval,"Map the current state of pricing and discount approval, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as discount authority matrix, deal desk process, and margin threshold rules. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Sales Leadership,Medium,,Phase 2,an approval framework that balances speed with commercial control,The team can point to a current standard for pricing and discount approval and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D03-04-02,REC-D03-04-02,Remove execution friction in Pricing and Discount Approval,"Diagnose where pricing and discount approval breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Sales Leadership,High,"WF-D03-04 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for pricing and discount approval covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in pricing and discount approval over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D03-04-03,REC-D03-04-03,Build KPI and exception control for Pricing and Discount Approval,"Define the small set of KPIs, service thresholds, and exception categories required to manage pricing and discount approval well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Sales Leadership,Medium,"WF-D03-04 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for pricing and discount approval covering approval turnaround, average discount, and margin at approval, thresholds, owners, and escalation rules.",Management can review trusted KPIs for pricing and discount approval regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D03-05-01,REC-D03-05-01,Define the operating standard for Stakeholder Access,"Map the current state of stakeholder access, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as account map, stakeholder plan, and deal notes. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Sales Leadership,Medium,,Phase 2,a stakeholder engagement standard linked to stage progression,The team can point to a current standard for stakeholder access and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D03-05-02,REC-D03-05-02,Remove execution friction in Stakeholder Access,"Diagnose where stakeholder access breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Sales Leadership,High,"WF-D03-05 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for stakeholder access covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in stakeholder access over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D03-05-03,REC-D03-05-03,Build KPI and exception control for Stakeholder Access,"Define the small set of KPIs, service thresholds, and exception categories required to manage stakeholder access well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Sales Leadership,Medium,"WF-D03-05 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for stakeholder access covering multi-threaded deal rate, win rate with decision-maker access, and late-stage loss reasons, thresholds, owners, and escalation rules.",Management can review trusted KPIs for stakeholder access regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D03-06-01,REC-D03-06-01,Define the operating standard for Follow-Up Management,"Map the current state of follow-up management, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as pipeline stages, deal review template, and next-step discipline rules. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Sales Leadership,Medium,,Phase 2,a pipeline management standard with evidence-based progression rules,The team can point to a current standard for follow-up management and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D03-06-02,REC-D03-06-02,Remove execution friction in Follow-Up Management,"Diagnose where follow-up management breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Sales Leadership,High,"WF-D03-06 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for follow-up management covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in follow-up management over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D03-06-03,REC-D03-06-03,Build KPI and exception control for Follow-Up Management,"Define the small set of KPIs, service thresholds, and exception categories required to manage follow-up management well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Sales Leadership,Medium,"WF-D03-06 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for follow-up management covering stage conversion, sales cycle length, and forecast accuracy, thresholds, owners, and escalation rules.",Management can review trusted KPIs for follow-up management regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D03-07-01,REC-D03-07-01,Define the operating standard for Deal Review Cadence,"Map the current state of deal review cadence, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as management calendar, standard agenda, and action log. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Sales Leadership,Medium,,Phase 2,"a management rhythm with clear meeting tiers, agendas, and action ownership",The team can point to a current standard for deal review cadence and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D03-07-02,REC-D03-07-02,Remove execution friction in Deal Review Cadence,"Diagnose where deal review cadence breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Sales Leadership,High,"WF-D03-07 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for deal review cadence covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in deal review cadence over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D03-07-03,REC-D03-07-03,Build KPI and exception control for Deal Review Cadence,"Define the small set of KPIs, service thresholds, and exception categories required to manage deal review cadence well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Sales Leadership,Medium,"WF-D03-07 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for deal review cadence covering meeting adherence, action closure rate, and decision turnaround time, thresholds, owners, and escalation rules.",Management can review trusted KPIs for deal review cadence regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D03-08-01,REC-D03-08-01,Define the operating standard for Closing Process,"Map the current state of closing process, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as close plan, contract checklist, and approval status log. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Sales Leadership,Medium,,Phase 2,a controlled closing process with clear commercial and legal checkpoints,The team can point to a current standard for closing process and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D03-08-02,REC-D03-08-02,Remove execution friction in Closing Process,"Diagnose where closing process breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Sales Leadership,High,"WF-D03-08 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for closing process covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in closing process over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D03-08-03,REC-D03-08-03,Build KPI and exception control for Closing Process,"Define the small set of KPIs, service thresholds, and exception categories required to manage closing process well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Sales Leadership,Medium,"WF-D03-08 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for closing process covering close-plan completion, late-stage slip rate, and signature turnaround, thresholds, owners, and escalation rules.",Management can review trusted KPIs for closing process regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D04-01-01,REC-D04-01-01,Define the operating standard for Sales-to-Delivery Handoff,"Map the current state of sales-to-delivery handoff, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as handoff template, acceptance checklist, and SLA rules. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Delivery Operations,Medium,,Phase 2,a controlled handoff standard with acceptance criteria and ownership,The team can point to a current standard for sales-to-delivery handoff and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D04-01-02,REC-D04-01-02,Remove execution friction in Sales-to-Delivery Handoff,"Diagnose where sales-to-delivery handoff breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Delivery Operations,High,"WF-D04-01 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for sales-to-delivery handoff covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in sales-to-delivery handoff over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D04-01-03,REC-D04-01-03,Build KPI and exception control for Sales-to-Delivery Handoff,"Define the small set of KPIs, service thresholds, and exception categories required to manage sales-to-delivery handoff well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Delivery Operations,Medium,"WF-D04-01 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for sales-to-delivery handoff covering handoff SLA attainment, handoff rejection rate, and rework volume, thresholds, owners, and escalation rules.",Management can review trusted KPIs for sales-to-delivery handoff regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D04-02-01,REC-D04-02-01,Define the operating standard for Onboarding / Implementation,"Map the current state of onboarding / implementation, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as onboarding plan, customer kickoff template, and go-live checklist. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Delivery Operations,Medium,,Phase 2,a controlled onboarding methodology with milestone and risk ownership,The team can point to a current standard for onboarding / implementation and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D04-02-02,REC-D04-02-02,Remove execution friction in Onboarding / Implementation,"Diagnose where onboarding / implementation breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Delivery Operations,High,"WF-D04-02 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for onboarding / implementation covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in onboarding / implementation over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D04-02-03,REC-D04-02-03,Build KPI and exception control for Onboarding / Implementation,"Define the small set of KPIs, service thresholds, and exception categories required to manage onboarding / implementation well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Delivery Operations,Medium,"WF-D04-02 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for onboarding / implementation covering time to go-live, time to first value, and onboarding completion rate, thresholds, owners, and escalation rules.",Management can review trusted KPIs for onboarding / implementation regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D04-03-01,REC-D04-03-01,Define the operating standard for Project Delivery,"Map the current state of project delivery, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as delivery plan, project governance pack, and issue/risk register. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Delivery Operations,Medium,,Phase 2,a delivery operating model with clear controls from initiation through closure,The team can point to a current standard for project delivery and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D04-03-02,REC-D04-03-02,Remove execution friction in Project Delivery,"Diagnose where project delivery breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Delivery Operations,High,"WF-D04-03 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for project delivery covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in project delivery over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D04-03-03,REC-D04-03-03,Build KPI and exception control for Project Delivery,"Define the small set of KPIs, service thresholds, and exception categories required to manage project delivery well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Delivery Operations,Medium,"WF-D04-03 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for project delivery covering on-time delivery, budget variance, and defect/rework rate, thresholds, owners, and escalation rules.",Management can review trusted KPIs for project delivery regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D04-04-01,REC-D04-04-01,Define the operating standard for Service Operations,"Map the current state of service operations, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as service catalogue, triage rules, and ticket workflow. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Delivery Operations,Medium,,Phase 2,"a service operating model with triage, escalation, and quality controls",The team can point to a current standard for service operations and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D04-04-02,REC-D04-04-02,Remove execution friction in Service Operations,"Diagnose where service operations breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Delivery Operations,High,"WF-D04-04 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for service operations covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in service operations over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D04-04-03,REC-D04-04-03,Build KPI and exception control for Service Operations,"Define the small set of KPIs, service thresholds, and exception categories required to manage service operations well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Delivery Operations,Medium,"WF-D04-04 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for service operations covering first response time, resolution SLA attainment, and repeat incident rate, thresholds, owners, and escalation rules.",Management can review trusted KPIs for service operations regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D04-05-01,REC-D04-05-01,Define the operating standard for Resource Planning,"Map the current state of resource planning, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as capacity plan, skills matrix, and resource forecast. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Delivery Operations,Medium,,Phase 2,a resource planning model linked to pipeline and delivery demand,The team can point to a current standard for resource planning and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D04-05-02,REC-D04-05-02,Remove execution friction in Resource Planning,"Diagnose where resource planning breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Delivery Operations,High,"WF-D04-05 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for resource planning covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in resource planning over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D04-05-03,REC-D04-05-03,Build KPI and exception control for Resource Planning,"Define the small set of KPIs, service thresholds, and exception categories required to manage resource planning well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Delivery Operations,Medium,"WF-D04-05 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for resource planning covering utilization, resource fill rate, and capacity forecast accuracy, thresholds, owners, and escalation rules.",Management can review trusted KPIs for resource planning regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D04-06-01,REC-D04-06-01,Define the operating standard for SLA Management,"Map the current state of sla management, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as SLA matrix, breach log, and service review pack. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Delivery Operations,Medium,,Phase 2,a governed SLA management approach with breach ownership and review,The team can point to a current standard for sla management and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D04-06-02,REC-D04-06-02,Remove execution friction in SLA Management,"Diagnose where sla management breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Delivery Operations,High,"WF-D04-06 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for sla management covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in sla management over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D04-06-03,REC-D04-06-03,Build KPI and exception control for SLA Management,"Define the small set of KPIs, service thresholds, and exception categories required to manage sla management well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Delivery Operations,Medium,"WF-D04-06 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for sla management covering SLA attainment, breach volume, and time to recover, thresholds, owners, and escalation rules.",Management can review trusted KPIs for sla management regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D04-07-01,REC-D04-07-01,Define the operating standard for Quality Assurance,"Map the current state of quality assurance, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as QA checklist, defect log, and approval gate. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Delivery Operations,Medium,,Phase 2,a quality framework embedded into the workflow rather than inspected too late,The team can point to a current standard for quality assurance and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D04-07-02,REC-D04-07-02,Remove execution friction in Quality Assurance,"Diagnose where quality assurance breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Delivery Operations,High,"WF-D04-07 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for quality assurance covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in quality assurance over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D04-07-03,REC-D04-07-03,Build KPI and exception control for Quality Assurance,"Define the small set of KPIs, service thresholds, and exception categories required to manage quality assurance well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Delivery Operations,Medium,"WF-D04-07 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for quality assurance covering defect rate, rework rate, and escaped defects, thresholds, owners, and escalation rules.",Management can review trusted KPIs for quality assurance regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D04-08-01,REC-D04-08-01,Define the operating standard for Change and Scope Control,"Map the current state of change and scope control, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as change request form, scope baseline, and approval log. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Delivery Operations,Medium,,Phase 2,"a commercial change-control mechanism across sales, delivery, and finance",The team can point to a current standard for change and scope control and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D04-08-02,REC-D04-08-02,Remove execution friction in Change and Scope Control,"Diagnose where change and scope control breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Delivery Operations,High,"WF-D04-08 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for change and scope control covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in change and scope control over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D04-08-03,REC-D04-08-03,Build KPI and exception control for Change and Scope Control,"Define the small set of KPIs, service thresholds, and exception categories required to manage change and scope control well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Delivery Operations,Medium,"WF-D04-08 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for change and scope control covering approved change rate, unbilled change value, and scope variance, thresholds, owners, and escalation rules.",Management can review trusted KPIs for change and scope control regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D05-01-01,REC-D05-01-01,Define the operating standard for Billable Event Definition,"Map the current state of billable event definition, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as billing rules, milestone acceptance criteria, and billable event register. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Billing / Finance Operations,Medium,,Phase 2,a clear billable-event standard tied to contracts and delivery evidence,The team can point to a current standard for billable event definition and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D05-01-02,REC-D05-01-02,Remove execution friction in Billable Event Definition,"Diagnose where billable event definition breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Billing / Finance Operations,High,"WF-D05-01 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for billable event definition covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in billable event definition over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D05-01-03,REC-D05-01-03,Build KPI and exception control for Billable Event Definition,"Define the small set of KPIs, service thresholds, and exception categories required to manage billable event definition well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Billing / Finance Operations,Medium,"WF-D05-01 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for billable event definition covering billable event capture rate, unbilled revenue aging, and trigger-to-invoice lead time, thresholds, owners, and escalation rules.",Management can review trusted KPIs for billable event definition regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D05-02-01,REC-D05-02-01,Define the operating standard for Delivery-to-Billing Trigger,"Map the current state of delivery-to-billing trigger, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as billing rules, milestone acceptance criteria, and billable event register. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Billing / Finance Operations,Medium,,Phase 2,a clear billable-event standard tied to contracts and delivery evidence,The team can point to a current standard for delivery-to-billing trigger and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D05-02-02,REC-D05-02-02,Remove execution friction in Delivery-to-Billing Trigger,"Diagnose where delivery-to-billing trigger breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Billing / Finance Operations,High,"WF-D05-02 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for delivery-to-billing trigger covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in delivery-to-billing trigger over the next review cycles.",4-8 weeks to stabilise and embed,execution
ACT-D05-02-03,REC-D05-02-03,Build KPI and exception control for Delivery-to-Billing Trigger,"Define the small set of KPIs, service thresholds, and exception categories required to manage delivery-to-billing trigger well. Establish KPI definitions, data ownership, review cadence, escalation rules, and corrective-action tracking so management can act quickly when performance slips or risk accumulates.",Billing / Finance Operations,Medium,"WF-D05-02 agreed process design, data definitions, and owner accountability",Phase 2,"A KPI control pack for delivery-to-billing trigger covering billable event capture rate, unbilled revenue aging, and trigger-to-invoice lead time, thresholds, owners, and escalation rules.",Management can review trusted KPIs for delivery-to-billing trigger regularly and close corrective actions against exceptions.,"2-6 weeks to define KPIs, build visibility, and embed review cadence",visibility_control
ACT-D05-03-01,REC-D05-03-01,Define the operating standard for Usage / Timesheet Capture,"Map the current state of usage / timesheet capture, identify where ownership or decision rights are unclear, and design the future-state standard. Document scope, triggers, required data, roles, system steps, approvals, handoffs, and evidence such as timesheet policy, usage rules, and approval workflow. Publish the standard, train the relevant teams, and assign a named owner for ongoing governance.",Billing / Finance Operations,Medium,,Phase 2,a controlled capture process with approval and reconciliation rules,The team can point to a current standard for usage / timesheet capture and apply it consistently without ambiguity.,"2-4 weeks to design and align, depending on complexity",definition
ACT-D05-03-02,REC-D05-03-02,Remove execution friction in Usage / Timesheet Capture,"Diagnose where usage / timesheet capture breaks down in live operation by reviewing delays, rework, exception volumes, and handoff failures. Remove unnecessary manual steps, clarify turnaround and quality expectations, strengthen adherence to the agreed standard, and create a short-cycle review to resolve recurring blockers until performance stabilises.",Billing / Finance Operations,High,"WF-D05-03 future-state standard, ownership, and service expectations",Phase 1,"A stabilisation plan for usage / timesheet capture covering the top delay, rework, and quality failure points.","Turnaround, rework, and exception rates improve materially in usage / timesheet capture over the next review cycles.",4-8 weeks to stabilise and embed,execution
