finding_id,question_id,domain_id,workflow_id,recommendation_id,action_id,score_band,severity_label,finding_title,finding_text,business_impact,likely_root_cause,evidence_to_validate,report_priority
FND-D01-07-03-3,Q-D01-07-03,D01,WF-D01-07,REC-D01-07-03,ACT-D01-07-03,3,Developing,Data and Reporting Setup has partial reporting but incomplete control,"The audit indicates that some reporting is in place for data and reporting setup, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in data and reporting setup increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","data dictionary, report catalogue, and KPI owner list",Medium
FND-D01-07-03-45,Q-D01-07-03,D01,WF-D01-07,REC-D01-07-03,ACT-D01-07-03,4-5,Strong / Managed,"Data and Reporting Setup is visible, measured, and actively managed","The audit indicates that data and reporting setup is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in data and reporting setup supports stronger control over cross-metric / multiple and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in data and reporting setup.","data dictionary, report catalogue, and KPI owner list",Low
FND-D01-08-01-12,Q-D01-08-01,D01,WF-D01-08,REC-D01-08-01,ACT-D01-08-01,1-2,Critical / Weak,Systems Landscape is not operating from a clear and controlled standard,"The audit indicates that systems landscape is not yet defined as an end-to-end controlled process. Critical elements such as system roles, integration boundaries, master data ownership, and control points are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve better strategic execution, faster decisions, and stronger operating discipline.",Weakness in systems landscape increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on system roles, integration boundaries, master data ownership, and control points.","application landscape, integration map, and system usage standards",High
FND-D01-08-01-3,Q-D01-08-01,D01,WF-D01-08,REC-D01-08-01,ACT-D01-08-01,3,Developing,Systems Landscape has a partial standard but still depends on inconsistent practice,"The audit indicates that systems landscape has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in systems landscape increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on system roles, integration boundaries, master data ownership, and control points.","application landscape, integration map, and system usage standards",Medium
FND-D01-08-01-45,Q-D01-08-01,D01,WF-D01-08,REC-D01-08-01,ACT-D01-08-01,4-5,Strong / Managed,Systems Landscape is largely standardised and well owned,"The audit indicates that systems landscape is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in systems landscape supports stronger control over cross-metric / multiple and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in systems landscape.","application landscape, integration map, and system usage standards",Low
FND-D01-08-02-12,Q-D01-08-02,D01,WF-D01-08,REC-D01-08-02,ACT-D01-08-02,1-2,Critical / Weak,Systems Landscape execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of systems landscape is unstable. Common symptoms include duplicate entry, spreadsheet workarounds, broken interfaces, and poor adoption, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of cross-metric / multiple.",Weakness in systems landscape increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","application landscape, integration map, and system usage standards",High
FND-D01-08-02-3,Q-D01-08-02,D01,WF-D01-08,REC-D01-08-02,ACT-D01-08-02,3,Developing,Systems Landscape execution is functioning but not yet consistently reliable,"The audit indicates that systems landscape can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in systems landscape increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","application landscape, integration map, and system usage standards",Medium
FND-D01-08-02-45,Q-D01-08-02,D01,WF-D01-08,REC-D01-08-02,ACT-D01-08-02,4-5,Strong / Managed,Systems Landscape execution is disciplined and predictable,"The audit indicates that systems landscape runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in systems landscape supports stronger control over cross-metric / multiple and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in systems landscape.","application landscape, integration map, and system usage standards",Low
FND-D01-08-03-12,Q-D01-08-03,D01,WF-D01-08,REC-D01-08-03,ACT-D01-08-03,1-2,Critical / Weak,Systems Landscape lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over systems landscape. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in systems landscape increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","application landscape, integration map, and system usage standards",High
FND-D01-08-03-3,Q-D01-08-03,D01,WF-D01-08,REC-D01-08-03,ACT-D01-08-03,3,Developing,Systems Landscape has partial reporting but incomplete control,"The audit indicates that some reporting is in place for systems landscape, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in systems landscape increases exposure to cross-metric / multiple and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","application landscape, integration map, and system usage standards",Medium
FND-D01-08-03-45,Q-D01-08-03,D01,WF-D01-08,REC-D01-08-03,ACT-D01-08-03,4-5,Strong / Managed,"Systems Landscape is visible, measured, and actively managed","The audit indicates that systems landscape is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in systems landscape supports stronger control over cross-metric / multiple and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in systems landscape.","application landscape, integration map, and system usage standards",Low
FND-D02-01-01-12,Q-D02-01-01,D02,WF-D02-01,REC-D02-01-01,ACT-D02-01-01,1-2,Critical / Weak,Marketing Planning is not operating from a clear and controlled standard,"The audit indicates that marketing planning is not yet defined as an end-to-end controlled process. Critical elements such as planning inputs, decision points, ownership, cadence, and approval rules are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve more qualified demand, less leakage before sales, and better channel ROI.",Weakness in marketing planning increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on planning inputs, decision points, ownership, cadence, and approval rules.","planning calendar, priority register, and meeting pack or planning deck",High
FND-D02-01-01-3,Q-D02-01-01,D02,WF-D02-01,REC-D02-01-01,ACT-D02-01-01,3,Developing,Marketing Planning has a partial standard but still depends on inconsistent practice,"The audit indicates that marketing planning has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in marketing planning increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on planning inputs, decision points, ownership, cadence, and approval rules.","planning calendar, priority register, and meeting pack or planning deck",Medium
FND-D02-01-01-45,Q-D02-01-01,D02,WF-D02-01,REC-D02-01-01,ACT-D02-01-01,4-5,Strong / Managed,Marketing Planning is largely standardised and well owned,"The audit indicates that marketing planning is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in marketing planning supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in marketing planning.","planning calendar, priority register, and meeting pack or planning deck",Low
FND-D02-01-02-12,Q-D02-01-02,D02,WF-D02-01,REC-D02-01-02,ACT-D02-01-02,1-2,Critical / Weak,Marketing Planning execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of marketing planning is unstable. Common symptoms include late inputs, unclear priorities, weak follow-through, and decisions being revisited repeatedly, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of qualified lead volume leakage.",Weakness in marketing planning increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","planning calendar, priority register, and meeting pack or planning deck",High
FND-D02-01-02-3,Q-D02-01-02,D02,WF-D02-01,REC-D02-01-02,ACT-D02-01-02,3,Developing,Marketing Planning execution is functioning but not yet consistently reliable,"The audit indicates that marketing planning can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in marketing planning increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","planning calendar, priority register, and meeting pack or planning deck",Medium
FND-D02-01-02-45,Q-D02-01-02,D02,WF-D02-01,REC-D02-01-02,ACT-D02-01-02,4-5,Strong / Managed,Marketing Planning execution is disciplined and predictable,"The audit indicates that marketing planning runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in marketing planning supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in marketing planning.","planning calendar, priority register, and meeting pack or planning deck",Low
FND-D02-01-03-12,Q-D02-01-03,D02,WF-D02-01,REC-D02-01-03,ACT-D02-01-03,1-2,Critical / Weak,Marketing Planning lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over marketing planning. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in marketing planning increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","planning calendar, priority register, and meeting pack or planning deck",High
FND-D02-01-03-3,Q-D02-01-03,D02,WF-D02-01,REC-D02-01-03,ACT-D02-01-03,3,Developing,Marketing Planning has partial reporting but incomplete control,"The audit indicates that some reporting is in place for marketing planning, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in marketing planning increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","planning calendar, priority register, and meeting pack or planning deck",Medium
FND-D02-01-03-45,Q-D02-01-03,D02,WF-D02-01,REC-D02-01-03,ACT-D02-01-03,4-5,Strong / Managed,"Marketing Planning is visible, measured, and actively managed","The audit indicates that marketing planning is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in marketing planning supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in marketing planning.","planning calendar, priority register, and meeting pack or planning deck",Low
FND-D02-02-01-12,Q-D02-02-01,D02,WF-D02-02,REC-D02-02-01,ACT-D02-02-01,1-2,Critical / Weak,Campaign Execution is not operating from a clear and controlled standard,"The audit indicates that campaign execution is not yet defined as an end-to-end controlled process. Critical elements such as campaign standards, channel roles, creative/sign-off rules, and data capture requirements are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve more qualified demand, less leakage before sales, and better channel ROI.",Weakness in campaign execution increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on campaign standards, channel roles, creative/sign-off rules, and data capture requirements.","campaign brief, channel plan, and lead capture standards",High
FND-D02-02-01-3,Q-D02-02-01,D02,WF-D02-02,REC-D02-02-01,ACT-D02-02-01,3,Developing,Campaign Execution has a partial standard but still depends on inconsistent practice,"The audit indicates that campaign execution has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in campaign execution increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on campaign standards, channel roles, creative/sign-off rules, and data capture requirements.","campaign brief, channel plan, and lead capture standards",Medium
FND-D02-02-01-45,Q-D02-02-01,D02,WF-D02-02,REC-D02-02-01,ACT-D02-02-01,4-5,Strong / Managed,Campaign Execution is largely standardised and well owned,"The audit indicates that campaign execution is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in campaign execution supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in campaign execution.","campaign brief, channel plan, and lead capture standards",Low
FND-D02-02-02-12,Q-D02-02-02,D02,WF-D02-02,REC-D02-02-02,ACT-D02-02-02,1-2,Critical / Weak,Campaign execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of campaign execution is unstable. Common symptoms include inconsistent campaign setup, poor attribution, weak response handling, and spend without insight, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of qualified lead volume leakage.",Weakness in campaign execution increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","campaign brief, channel plan, and lead capture standards",High
FND-D02-02-02-3,Q-D02-02-02,D02,WF-D02-02,REC-D02-02-02,ACT-D02-02-02,3,Developing,Campaign execution is functioning but not yet consistently reliable,"The audit indicates that campaign execution can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in campaign execution increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","campaign brief, channel plan, and lead capture standards",Medium
FND-D02-02-02-45,Q-D02-02-02,D02,WF-D02-02,REC-D02-02-02,ACT-D02-02-02,4-5,Strong / Managed,Campaign execution is disciplined and predictable,"The audit indicates that campaign execution runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in campaign execution supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in campaign execution.","campaign brief, channel plan, and lead capture standards",Low
FND-D02-02-03-12,Q-D02-02-03,D02,WF-D02-02,REC-D02-02-03,ACT-D02-02-03,1-2,Critical / Weak,Campaign Execution lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over campaign execution. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in campaign execution increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","campaign brief, channel plan, and lead capture standards",High
FND-D02-02-03-3,Q-D02-02-03,D02,WF-D02-02,REC-D02-02-03,ACT-D02-02-03,3,Developing,Campaign Execution has partial reporting but incomplete control,"The audit indicates that some reporting is in place for campaign execution, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in campaign execution increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","campaign brief, channel plan, and lead capture standards",Medium
FND-D02-02-03-45,Q-D02-02-03,D02,WF-D02-02,REC-D02-02-03,ACT-D02-02-03,4-5,Strong / Managed,"Campaign Execution is visible, measured, and actively managed","The audit indicates that campaign execution is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in campaign execution supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in campaign execution.","campaign brief, channel plan, and lead capture standards",Low
FND-D02-03-01-12,Q-D02-03-01,D02,WF-D02-03,REC-D02-03-01,ACT-D02-03-01,1-2,Critical / Weak,Inbound Capture is not operating from a clear and controlled standard,"The audit indicates that inbound capture is not yet defined as an end-to-end controlled process. Critical elements such as capture fields, validation rules, channel ownership, and routing triggers are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve more qualified demand, less leakage before sales, and better channel ROI.",Weakness in inbound capture increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on capture fields, validation rules, channel ownership, and routing triggers.","web forms, call capture script, and capture-to-CRM workflow",High
FND-D02-03-01-3,Q-D02-03-01,D02,WF-D02-03,REC-D02-03-01,ACT-D02-03-01,3,Developing,Inbound Capture has a partial standard but still depends on inconsistent practice,"The audit indicates that inbound capture has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in inbound capture increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on capture fields, validation rules, channel ownership, and routing triggers.","web forms, call capture script, and capture-to-CRM workflow",Medium
FND-D02-03-01-45,Q-D02-03-01,D02,WF-D02-03,REC-D02-03-01,ACT-D02-03-01,4-5,Strong / Managed,Inbound Capture is largely standardised and well owned,"The audit indicates that inbound capture is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in inbound capture supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in inbound capture.","web forms, call capture script, and capture-to-CRM workflow",Low
FND-D02-03-02-12,Q-D02-03-02,D02,WF-D02-03,REC-D02-03-02,ACT-D02-03-02,1-2,Critical / Weak,Inbound Capture execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of inbound capture is unstable. Common symptoms include missed leads, incomplete records, delayed response, and untracked source data, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of qualified lead volume leakage.",Weakness in inbound capture increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","web forms, call capture script, and capture-to-CRM workflow",High
FND-D02-03-02-3,Q-D02-03-02,D02,WF-D02-03,REC-D02-03-02,ACT-D02-03-02,3,Developing,Inbound Capture execution is functioning but not yet consistently reliable,"The audit indicates that inbound capture can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in inbound capture increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","web forms, call capture script, and capture-to-CRM workflow",Medium
FND-D02-03-02-45,Q-D02-03-02,D02,WF-D02-03,REC-D02-03-02,ACT-D02-03-02,4-5,Strong / Managed,Inbound Capture execution is disciplined and predictable,"The audit indicates that inbound capture runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in inbound capture supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in inbound capture.","web forms, call capture script, and capture-to-CRM workflow",Low
FND-D02-03-03-12,Q-D02-03-03,D02,WF-D02-03,REC-D02-03-03,ACT-D02-03-03,1-2,Critical / Weak,Inbound Capture lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over inbound capture. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in inbound capture increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","web forms, call capture script, and capture-to-CRM workflow",High
FND-D02-03-03-3,Q-D02-03-03,D02,WF-D02-03,REC-D02-03-03,ACT-D02-03-03,3,Developing,Inbound Capture has partial reporting but incomplete control,"The audit indicates that some reporting is in place for inbound capture, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in inbound capture increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","web forms, call capture script, and capture-to-CRM workflow",Medium
FND-D02-03-03-45,Q-D02-03-03,D02,WF-D02-03,REC-D02-03-03,ACT-D02-03-03,4-5,Strong / Managed,"Inbound Capture is visible, measured, and actively managed","The audit indicates that inbound capture is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in inbound capture supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in inbound capture.","web forms, call capture script, and capture-to-CRM workflow",Low
FND-D02-04-01-12,Q-D02-04-01,D02,WF-D02-04,REC-D02-04-01,ACT-D02-04-01,1-2,Critical / Weak,Outbound Prospecting is not operating from a clear and controlled standard,"The audit indicates that outbound prospecting is not yet defined as an end-to-end controlled process. Critical elements such as targeting rules, outreach cadence, messaging standards, and activity ownership are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve more qualified demand, less leakage before sales, and better channel ROI.",Weakness in outbound prospecting increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on targeting rules, outreach cadence, messaging standards, and activity ownership.","prospecting sequence, account list criteria, and activity standards",High
FND-D02-04-01-3,Q-D02-04-01,D02,WF-D02-04,REC-D02-04-01,ACT-D02-04-01,3,Developing,Outbound Prospecting has a partial standard but still depends on inconsistent practice,"The audit indicates that outbound prospecting has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in outbound prospecting increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on targeting rules, outreach cadence, messaging standards, and activity ownership.","prospecting sequence, account list criteria, and activity standards",Medium
FND-D02-04-01-45,Q-D02-04-01,D02,WF-D02-04,REC-D02-04-01,ACT-D02-04-01,4-5,Strong / Managed,Outbound Prospecting is largely standardised and well owned,"The audit indicates that outbound prospecting is broadly standardised. The business has a clear operating design, ownership model, and usable process guidance, which supports more consistent execution and scale.",Current maturity in outbound prospecting supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in outbound prospecting.","prospecting sequence, account list criteria, and activity standards",Low
FND-D02-04-02-12,Q-D02-04-02,D02,WF-D02-04,REC-D02-04-02,ACT-D02-04-02,1-2,Critical / Weak,Outbound Prospecting execution is unstable and creating avoidable operating friction,"The audit indicates that day-to-day execution of outbound prospecting is unstable. Common symptoms include low-quality targeting, inconsistent follow-up, and activity volume without conversion, which create delay, rework, and avoidable customer or commercial friction. This materially raises the risk of qualified lead volume leakage.",Weakness in outbound prospecting increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","prospecting sequence, account list criteria, and activity standards",High
FND-D02-04-02-3,Q-D02-04-02,D02,WF-D02-04,REC-D02-04-02,ACT-D02-04-02,3,Developing,Outbound Prospecting execution is functioning but not yet consistently reliable,"The audit indicates that outbound prospecting can be executed, but performance is still uneven. Routine work is generally completed, yet recurring exceptions, quality misses, or inconsistent adherence to standards still affect predictability and downstream confidence.",Weakness in outbound prospecting increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include manual workarounds, unclear service expectations, weak adherence to standards, and recurring exception patterns.","prospecting sequence, account list criteria, and activity standards",Medium
FND-D02-04-02-45,Q-D02-04-02,D02,WF-D02-04,REC-D02-04-02,ACT-D02-04-02,4-5,Strong / Managed,Outbound Prospecting execution is disciplined and predictable,"The audit indicates that outbound prospecting runs with good operating discipline. Timelines, quality expectations, and handoffs are generally achieved, and exceptions are the exception rather than the norm.",Current maturity in outbound prospecting supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in outbound prospecting.","prospecting sequence, account list criteria, and activity standards",Low
FND-D02-04-03-12,Q-D02-04-03,D02,WF-D02-04,REC-D02-04-03,ACT-D02-04-03,1-2,Critical / Weak,Outbound Prospecting lacks reliable KPI visibility and management control,"The audit indicates that management does not yet have reliable visibility over outbound prospecting. KPI definitions, data quality, or review routines are insufficient, so issues tend to surface late, after they have already affected performance, customer outcomes, or revenue.",Weakness in outbound prospecting increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","prospecting sequence, account list criteria, and activity standards",High
FND-D02-04-03-3,Q-D02-04-03,D02,WF-D02-04,REC-D02-04-03,ACT-D02-04-03,3,Developing,Outbound Prospecting has partial reporting but incomplete control,"The audit indicates that some reporting is in place for outbound prospecting, but it is not yet strong enough to support full control. Metrics, review cadence, or corrective-action ownership exist in part, but important issues can still remain hidden or unresolved for too long.",Weakness in outbound prospecting increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include weak KPI definitions, unreliable source data, poor review cadence, and limited corrective-action tracking.","prospecting sequence, account list criteria, and activity standards",Medium
FND-D02-04-03-45,Q-D02-04-03,D02,WF-D02-04,REC-D02-04-03,ACT-D02-04-03,4-5,Strong / Managed,"Outbound Prospecting is visible, measured, and actively managed","The audit indicates that outbound prospecting is supported by clear KPI visibility and active management control. Leaders can see emerging issues early, review them regularly, and hold owners accountable for corrective action.",Current maturity in outbound prospecting supports stronger control over qualified lead volume leakage and provides a base for selective automation or AI.,"Root-cause exposure appears relatively contained; maintain ownership, documentation, and review discipline in outbound prospecting.","prospecting sequence, account list criteria, and activity standards",Low
FND-D02-05-01-12,Q-D02-05-01,D02,WF-D02-05,REC-D02-05-01,ACT-D02-05-01,1-2,Critical / Weak,Lead Qualification is not operating from a clear and controlled standard,"The audit indicates that lead qualification is not yet defined as an end-to-end controlled process. Critical elements such as entry criteria, qualification questions, rejection rules, and handoff ownership are unclear or inconsistently documented, which leaves teams dependent on tribal knowledge and undermines the business's ability to achieve more qualified demand, less leakage before sales, and better channel ROI.",Weakness in lead qualification increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on entry criteria, qualification questions, rejection rules, and handoff ownership.","qualification framework, stage entry criteria, and rejection reason codes",High
FND-D02-05-01-3,Q-D02-05-01,D02,WF-D02-05,REC-D02-05-01,ACT-D02-05-01,3,Developing,Lead Qualification has a partial standard but still depends on inconsistent practice,"The audit indicates that lead qualification has some documented structure, but it is not yet complete or consistently applied. The organisation has a workable starting point, but ownership, documentation depth, or downstream handoff clarity still need strengthening.",Weakness in lead qualification increases exposure to qualified lead volume leakage and weakens the business's ability to scale predictably.,"Likely root causes include unclear ownership, incomplete documentation, missing standards, and poor alignment on entry criteria, qualification questions, rejection rules, and handoff ownership.","qualification framework, stage entry criteria, and rejection reason codes",Medium
