step_id,workflow_id,step_name,step_description,display_order
ST-D07-01-03,WF-D07-01,"Visibility, KPI Control, and Escalation","Tests whether customer onboarding success is controlled through clear metrics such as time to go-live, time to first value, and onboarding completion rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D07-02-01,WF-D07-02,Process Design and Ownership,"Tests whether product / service adoption has a documented end-to-end design covering success milestones, adoption measures, ownership, and intervention triggers, with clear ownership, decision rights, and handoff rules.",1
ST-D07-02-02,WF-D07-02,Execution Discipline and Service Quality,"Tests whether product / service adoption operates consistently in practice and whether customers are guided to value through structured engagement and proactive follow-up without avoidable delay, rework, or dependency on individual heroics.",2
ST-D07-02-03,WF-D07-02,"Visibility, KPI Control, and Escalation","Tests whether product / service adoption is controlled through clear metrics such as time to value, adoption depth, and health score coverage, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D07-03-01,WF-D07-03,Process Design and Ownership,"Tests whether success management has a documented end-to-end design covering success milestones, adoption measures, ownership, and intervention triggers, with clear ownership, decision rights, and handoff rules.",1
ST-D07-03-02,WF-D07-03,Execution Discipline and Service Quality,"Tests whether success management operates consistently in practice and whether customers are guided to value through structured engagement and proactive follow-up without avoidable delay, rework, or dependency on individual heroics.",2
ST-D07-03-03,WF-D07-03,"Visibility, KPI Control, and Escalation","Tests whether success management is controlled through clear metrics such as time to value, adoption depth, and health score coverage, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D07-04-01,WF-D07-04,Process Design and Ownership,"Tests whether renewal management has a documented end-to-end design covering renewal timeline, ownership, forecasting logic, commercial guardrails, and escalation path, with clear ownership, decision rights, and handoff rules.",1
ST-D07-04-02,WF-D07-04,Execution Discipline and Service Quality,"Tests whether renewal management operates consistently in practice and whether renewals start early enough to protect term, pricing, and customer commitment without avoidable delay, rework, or dependency on individual heroics.",2
ST-D07-04-03,WF-D07-04,"Visibility, KPI Control, and Escalation","Tests whether renewal management is controlled through clear metrics such as on-time renewal start, gross renewal rate, and renewal forecast accuracy, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D07-05-01,WF-D07-05,Process Design and Ownership,"Tests whether churn prevention has a documented end-to-end design covering risk triggers, intervention tiers, save-offer logic, and executive escalation rules, with clear ownership, decision rights, and handoff rules.",1
ST-D07-05-02,WF-D07-05,Execution Discipline and Service Quality,"Tests whether churn prevention operates consistently in practice and whether at-risk accounts receive timely, structured action rather than reactive firefighting without avoidable delay, rework, or dependency on individual heroics.",2
ST-D07-05-03,WF-D07-05,"Visibility, KPI Control, and Escalation","Tests whether churn prevention is controlled through clear metrics such as logo churn, save rate, and at-risk intervention lead time, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D07-06-01,WF-D07-06,Process Design and Ownership,"Tests whether save motions has a documented end-to-end design covering risk triggers, intervention tiers, save-offer logic, and executive escalation rules, with clear ownership, decision rights, and handoff rules.",1
ST-D07-06-02,WF-D07-06,Execution Discipline and Service Quality,"Tests whether save motions operates consistently in practice and whether at-risk accounts receive timely, structured action rather than reactive firefighting without avoidable delay, rework, or dependency on individual heroics.",2
ST-D07-06-03,WF-D07-06,"Visibility, KPI Control, and Escalation","Tests whether save motions is controlled through clear metrics such as logo churn, save rate, and at-risk intervention lead time, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D07-07-01,WF-D07-07,Process Design and Ownership,"Tests whether account planning has a documented end-to-end design covering account planning standards, growth hypotheses, contact maps, and offer alignment, with clear ownership, decision rights, and handoff rules.",1
ST-D07-07-02,WF-D07-07,Execution Discipline and Service Quality,"Tests whether account planning operates consistently in practice and whether account teams actively build retention and expansion plans rather than waiting for reactive demand without avoidable delay, rework, or dependency on individual heroics.",2
ST-D07-07-03,WF-D07-07,"Visibility, KPI Control, and Escalation","Tests whether account planning is controlled through clear metrics such as plan coverage for priority accounts, expansion pipeline, and net revenue retention, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D07-08-01,WF-D07-08,Process Design and Ownership,"Tests whether expansion / upsell / cross-sell has a documented end-to-end design covering account planning standards, growth hypotheses, contact maps, and offer alignment, with clear ownership, decision rights, and handoff rules.",1
ST-D07-08-02,WF-D07-08,Execution Discipline and Service Quality,"Tests whether expansion / upsell / cross-sell operates consistently in practice and whether account teams actively build retention and expansion plans rather than waiting for reactive demand without avoidable delay, rework, or dependency on individual heroics.",2
ST-D07-08-03,WF-D07-08,"Visibility, KPI Control, and Escalation","Tests whether expansion / upsell / cross-sell is controlled through clear metrics such as plan coverage for priority accounts, expansion pipeline, and net revenue retention, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D08-01-01,WF-D08-01,Process Design and Ownership,"Tests whether finance operations has a documented end-to-end design covering core finance workflow ownership, controls, service expectations, and reporting outputs, with clear ownership, decision rights, and handoff rules.",1
ST-D08-01-02,WF-D08-01,Execution Discipline and Service Quality,"Tests whether finance operations operates consistently in practice and whether finance operations run accurately and support the commercial engine rather than slowing it without avoidable delay, rework, or dependency on individual heroics.",2
ST-D08-01-03,WF-D08-01,"Visibility, KPI Control, and Escalation","Tests whether finance operations is controlled through clear metrics such as process accuracy, close/process timeliness, and exception volume, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D08-02-01,WF-D08-02,Process Design and Ownership,"Tests whether hr / skills / capacity has a documented end-to-end design covering role requirements, capacity planning, skills tracking, and development ownership, with clear ownership, decision rights, and handoff rules.",1
ST-D08-02-02,WF-D08-02,Execution Discipline and Service Quality,"Tests whether hr / skills / capacity operates consistently in practice and whether staffing, capability-building, and performance management support operating needs without avoidable delay, rework, or dependency on individual heroics.",2
ST-D08-02-03,WF-D08-02,"Visibility, KPI Control, and Escalation","Tests whether hr / skills / capacity is controlled through clear metrics such as vacancy fill time, skill coverage, and training completion, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D08-03-01,WF-D08-03,Process Design and Ownership,"Tests whether it and system stability has a documented end-to-end design covering support model, incident ownership, availability targets, change rules, and recovery plans, with clear ownership, decision rights, and handoff rules.",1
ST-D08-03-02,WF-D08-03,Execution Discipline and Service Quality,"Tests whether it and system stability operates consistently in practice and whether systems remain available, incidents are resolved quickly, and change is controlled without avoidable delay, rework, or dependency on individual heroics.",2
ST-D08-03-03,WF-D08-03,"Visibility, KPI Control, and Escalation","Tests whether it and system stability is controlled through clear metrics such as system uptime, incident resolution time, and repeat incident rate, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D08-04-01,WF-D08-04,Process Design and Ownership,"Tests whether data quality and reporting has a documented end-to-end design covering KPI definitions, data ownership, source systems, and reporting cadence, with clear ownership, decision rights, and handoff rules.",1
ST-D08-04-02,WF-D08-04,Execution Discipline and Service Quality,"Tests whether data quality and reporting operates consistently in practice and whether data is entered on time, reconciled, and reports are produced without heavy manual repair without avoidable delay, rework, or dependency on individual heroics.",2
ST-D08-04-03,WF-D08-04,"Visibility, KPI Control, and Escalation","Tests whether data quality and reporting is controlled through clear metrics such as report timeliness, data completeness, and reconciliation exceptions, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D08-05-01,WF-D08-05,Process Design and Ownership,"Tests whether governance and approvals has a documented end-to-end design covering approval rights, thresholds, committees, documentation standards, and escalation path, with clear ownership, decision rights, and handoff rules.",1
ST-D08-05-02,WF-D08-05,Execution Discipline and Service Quality,"Tests whether governance and approvals operates consistently in practice and whether decisions happen with control and speed, not bottlenecked or bypassed without avoidable delay, rework, or dependency on individual heroics.",2
ST-D08-05-03,WF-D08-05,"Visibility, KPI Control, and Escalation","Tests whether governance and approvals is controlled through clear metrics such as approval turnaround, exception approvals, and policy breach incidents, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D08-06-01,WF-D08-06,Process Design and Ownership,"Tests whether vendor / partner management has a documented end-to-end design covering vendor roles, service expectations, commercial controls, and review cadence, with clear ownership, decision rights, and handoff rules.",1
ST-D08-06-02,WF-D08-06,Execution Discipline and Service Quality,"Tests whether vendor / partner management operates consistently in practice and whether partners deliver to agreed standards and issues are managed before they affect customers or revenue without avoidable delay, rework, or dependency on individual heroics.",2
ST-D08-06-03,WF-D08-06,"Visibility, KPI Control, and Escalation","Tests whether vendor / partner management is controlled through clear metrics such as vendor SLA attainment, cost variance, and vendor issue recurrence, with timely exception visibility, review cadence, and corrective action ownership.",3
ST-D08-07-01,WF-D08-07,Process Design and Ownership,"Tests whether risk and compliance has a documented end-to-end design covering control requirements, policy ownership, monitoring, and evidence standards, with clear ownership, decision rights, and handoff rules.",1
ST-D08-07-02,WF-D08-07,Execution Discipline and Service Quality,"Tests whether risk and compliance operates consistently in practice and whether risk and compliance controls operate in day-to-day work rather than as a paper exercise without avoidable delay, rework, or dependency on individual heroics.",2
ST-D08-07-03,WF-D08-07,"Visibility, KPI Control, and Escalation","Tests whether risk and compliance is controlled through clear metrics such as control completion, breach count, and overdue remediation actions, with timely exception visibility, review cadence, and corrective action ownership.",3
