recommendation_id,issue_type,recommendation_title,recommendation_text,recommendation_type,linked_driver,linked_metric,why_this_matters,expected_outcome,advisory_note
REC-D03-03-01,unclear_workflow_definition,Design and standardize Proposal and Quoting,"Redesign proposal and quoting as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that proposals and quotes are accurate, timely, competitive, and aligned to approved scope rather than depending on informal practice.",Process Design and Standardisation,Proposal Acceptance,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over proposal and quoting directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,A documented and owned standard for proposal and quoting that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for proposal and quoting."
REC-D03-03-02,inconsistent_workflow_execution,Stabilize execution of Proposal and Quoting,"Stabilize day-to-day execution of proposal and quoting by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Proposal Acceptance,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over proposal and quoting directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,"More predictable execution of proposal and quoting with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in proposal and quoting, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D03-03-03,weak_workflow_visibility_and_control,Introduce KPI control for Proposal and Quoting,"Establish a management-control layer for proposal and quoting with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead-to-win conversion leakage.","Control, Reporting, and Exception Management",Proposal Acceptance,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over proposal and quoting directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,Earlier visibility into issues within proposal and quoting and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over proposal and quoting, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D03-04-01,unclear_workflow_definition,Design and standardize Pricing and Discount Approval,"Redesign pricing and discount approval as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that non-standard pricing is reviewed quickly while protecting margin and governance rather than depending on informal practice.",Process Design and Standardisation,Pricing Discipline,Pricing / Discount Leakage,This matters because weak control over pricing and discount approval directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,A documented and owned standard for pricing and discount approval that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for pricing and discount approval."
REC-D03-04-02,inconsistent_workflow_execution,Stabilize execution of Pricing and Discount Approval,"Stabilize day-to-day execution of pricing and discount approval by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Pricing Discipline,Pricing / Discount Leakage,This matters because weak control over pricing and discount approval directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,"More predictable execution of pricing and discount approval with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in pricing and discount approval, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D03-04-03,weak_workflow_visibility_and_control,Introduce KPI control for Pricing and Discount Approval,"Establish a management-control layer for pricing and discount approval with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect pricing / discount leakage.","Control, Reporting, and Exception Management",Pricing Discipline,Pricing / Discount Leakage,This matters because weak control over pricing and discount approval directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,Earlier visibility into issues within pricing and discount approval and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over pricing and discount approval, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D03-05-01,unclear_workflow_definition,Design and standardize Stakeholder Access,"Redesign stakeholder access as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that sales engages the right economic, technical, and user stakeholders early enough to reduce deal risk rather than depending on informal practice.",Process Design and Standardisation,Decision-Maker Access,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over stakeholder access directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,A documented and owned standard for stakeholder access that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for stakeholder access."
REC-D03-05-02,inconsistent_workflow_execution,Stabilize execution of Stakeholder Access,"Stabilize day-to-day execution of stakeholder access by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Decision-Maker Access,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over stakeholder access directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,"More predictable execution of stakeholder access with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in stakeholder access, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D03-05-03,weak_workflow_visibility_and_control,Introduce KPI control for Stakeholder Access,"Establish a management-control layer for stakeholder access with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead-to-win conversion leakage.","Control, Reporting, and Exception Management",Decision-Maker Access,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over stakeholder access directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,Earlier visibility into issues within stakeholder access and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over stakeholder access, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D03-06-01,unclear_workflow_definition,Design and standardize Follow-Up Management,"Redesign follow-up management as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that buyers receive timely next steps, updates, and agreed actions throughout the cycle rather than depending on informal practice.",Process Design and Standardisation,Sales Follow-Up Quality,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over follow-up management directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,A documented and owned standard for follow-up management that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for follow-up management."
REC-D03-06-02,inconsistent_workflow_execution,Stabilize execution of Follow-Up Management,"Stabilize day-to-day execution of follow-up management by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Sales Follow-Up Quality,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over follow-up management directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,"More predictable execution of follow-up management with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in follow-up management, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D03-06-03,weak_workflow_visibility_and_control,Introduce KPI control for Follow-Up Management,"Establish a management-control layer for follow-up management with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead-to-win conversion leakage.","Control, Reporting, and Exception Management",Sales Follow-Up Quality,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over follow-up management directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,Earlier visibility into issues within follow-up management and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over follow-up management, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D03-07-01,unclear_workflow_definition,Design and standardize Deal Review Cadence,"Redesign deal review cadence as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that risky deals are reviewed early with decisions, support, and escalation rather than depending on informal practice.",Process Design and Standardisation,Deal Desk Control,Pricing / Discount Leakage,This matters because weak control over deal review cadence directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,A documented and owned standard for deal review cadence that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for deal review cadence."
REC-D03-07-02,inconsistent_workflow_execution,Stabilize execution of Deal Review Cadence,"Stabilize day-to-day execution of deal review cadence by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Deal Desk Control,Pricing / Discount Leakage,This matters because weak control over deal review cadence directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,"More predictable execution of deal review cadence with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in deal review cadence, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D03-07-03,weak_workflow_visibility_and_control,Introduce KPI control for Deal Review Cadence,"Establish a management-control layer for deal review cadence with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect pricing / discount leakage.","Control, Reporting, and Exception Management",Deal Desk Control,Pricing / Discount Leakage,This matters because weak control over deal review cadence directly increases the risk of pricing / discount leakage and reduces management confidence in performance.,Earlier visibility into issues within deal review cadence and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over deal review cadence, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D03-08-01,unclear_workflow_definition,Design and standardize Closing Process,"Redesign closing process as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that commercial, legal, procurement, and internal approvals are completed without avoidable last-minute blockage rather than depending on informal practice.",Process Design and Standardisation,Proposal Acceptance,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over closing process directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,A documented and owned standard for closing process that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for closing process."
REC-D03-08-02,inconsistent_workflow_execution,Stabilize execution of Closing Process,"Stabilize day-to-day execution of closing process by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Proposal Acceptance,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over closing process directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,"More predictable execution of closing process with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in closing process, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D03-08-03,weak_workflow_visibility_and_control,Introduce KPI control for Closing Process,"Establish a management-control layer for closing process with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect qualified lead-to-win conversion leakage.","Control, Reporting, and Exception Management",Proposal Acceptance,Qualified Lead-to-Win Conversion Leakage,This matters because weak control over closing process directly increases the risk of qualified lead-to-win conversion leakage and reduces management confidence in performance.,Earlier visibility into issues within closing process and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over closing process, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D04-01-01,unclear_workflow_definition,Design and standardize Sales-to-Delivery Handoff,"Redesign sales-to-delivery handoff as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that delivery receives complete commercial, scope, customer, and success context before mobilisation rather than depending on informal practice.",Process Design and Standardisation,Delivery-to-Billing Handoff,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over sales-to-delivery handoff directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,A documented and owned standard for sales-to-delivery handoff that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for sales-to-delivery handoff."
REC-D04-01-02,inconsistent_workflow_execution,Stabilize execution of Sales-to-Delivery Handoff,"Stabilize day-to-day execution of sales-to-delivery handoff by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Delivery-to-Billing Handoff,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over sales-to-delivery handoff directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,"More predictable execution of sales-to-delivery handoff with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in sales-to-delivery handoff, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D04-01-03,weak_workflow_visibility_and_control,Introduce KPI control for Sales-to-Delivery Handoff,"Establish a management-control layer for sales-to-delivery handoff with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect unbilled / uninvoiced revenue leakage.","Control, Reporting, and Exception Management",Delivery-to-Billing Handoff,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over sales-to-delivery handoff directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,Earlier visibility into issues within sales-to-delivery handoff and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over sales-to-delivery handoff, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D04-02-01,unclear_workflow_definition,Design and standardize Onboarding / Implementation,"Redesign onboarding / implementation as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that new customers are activated quickly with clear plans, ownership, and adoption milestones rather than depending on informal practice.",Process Design and Standardisation,Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over onboarding / implementation directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for onboarding / implementation that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for onboarding / implementation."
REC-D04-02-02,inconsistent_workflow_execution,Stabilize execution of Onboarding / Implementation,"Stabilize day-to-day execution of onboarding / implementation by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over onboarding / implementation directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of onboarding / implementation with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in onboarding / implementation, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D04-02-03,weak_workflow_visibility_and_control,Introduce KPI control for Onboarding / Implementation,"Establish a management-control layer for onboarding / implementation with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue churn leakage.","Control, Reporting, and Exception Management",Customer Satisfaction,Revenue Churn Leakage,This matters because weak control over onboarding / implementation directly increases the risk of revenue churn leakage and reduces management confidence in performance.,Earlier visibility into issues within onboarding / implementation and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over onboarding / implementation, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D04-03-01,unclear_workflow_definition,Design and standardize Project Delivery,"Redesign project delivery as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that projects are delivered to agreed scope, quality, timeline, and commercial expectations rather than depending on informal practice.",Process Design and Standardisation,Service Quality,Revenue Churn Leakage,This matters because weak control over project delivery directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for project delivery that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for project delivery."
REC-D04-03-02,inconsistent_workflow_execution,Stabilize execution of Project Delivery,"Stabilize day-to-day execution of project delivery by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Service Quality,Revenue Churn Leakage,This matters because weak control over project delivery directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of project delivery with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in project delivery, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D04-03-03,weak_workflow_visibility_and_control,Introduce KPI control for Project Delivery,"Establish a management-control layer for project delivery with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue churn leakage.","Control, Reporting, and Exception Management",Service Quality,Revenue Churn Leakage,This matters because weak control over project delivery directly increases the risk of revenue churn leakage and reduces management confidence in performance.,Earlier visibility into issues within project delivery and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over project delivery, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D04-04-01,unclear_workflow_definition,Design and standardize Service Operations,"Redesign service operations as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that ongoing service requests are resolved predictably and at the expected experience level rather than depending on informal practice.",Process Design and Standardisation,Service Quality,Revenue Churn Leakage,This matters because weak control over service operations directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for service operations that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for service operations."
REC-D04-04-02,inconsistent_workflow_execution,Stabilize execution of Service Operations,"Stabilize day-to-day execution of service operations by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Service Quality,Revenue Churn Leakage,This matters because weak control over service operations directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of service operations with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in service operations, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D04-04-03,weak_workflow_visibility_and_control,Introduce KPI control for Service Operations,"Establish a management-control layer for service operations with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue churn leakage.","Control, Reporting, and Exception Management",Service Quality,Revenue Churn Leakage,This matters because weak control over service operations directly increases the risk of revenue churn leakage and reduces management confidence in performance.,Earlier visibility into issues within service operations and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over service operations, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D04-05-01,unclear_workflow_definition,Design and standardize Resource Planning,"Redesign resource planning as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that the right capacity and skills are available when demand occurs rather than depending on informal practice.",Process Design and Standardisation,Service Quality,Revenue Churn Leakage,This matters because weak control over resource planning directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for resource planning that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for resource planning."
REC-D04-05-02,inconsistent_workflow_execution,Stabilize execution of Resource Planning,"Stabilize day-to-day execution of resource planning by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Service Quality,Revenue Churn Leakage,This matters because weak control over resource planning directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of resource planning with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in resource planning, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D04-05-03,weak_workflow_visibility_and_control,Introduce KPI control for Resource Planning,"Establish a management-control layer for resource planning with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue churn leakage.","Control, Reporting, and Exception Management",Service Quality,Revenue Churn Leakage,This matters because weak control over resource planning directly increases the risk of revenue churn leakage and reduces management confidence in performance.,Earlier visibility into issues within resource planning and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over resource planning, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D04-06-01,unclear_workflow_definition,Design and standardize SLA Management,"Redesign sla management as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that service commitments are clearly defined, tracked, and recovered when missed rather than depending on informal practice.",Process Design and Standardisation,Service Quality,Revenue Churn Leakage,This matters because weak control over sla management directly increases the risk of revenue churn leakage and reduces management confidence in performance.,A documented and owned standard for sla management that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for sla management."
REC-D04-06-02,inconsistent_workflow_execution,Stabilize execution of SLA Management,"Stabilize day-to-day execution of sla management by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Service Quality,Revenue Churn Leakage,This matters because weak control over sla management directly increases the risk of revenue churn leakage and reduces management confidence in performance.,"More predictable execution of sla management with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in sla management, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D04-06-03,weak_workflow_visibility_and_control,Introduce KPI control for SLA Management,"Establish a management-control layer for sla management with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect revenue churn leakage.","Control, Reporting, and Exception Management",Service Quality,Revenue Churn Leakage,This matters because weak control over sla management directly increases the risk of revenue churn leakage and reduces management confidence in performance.,Earlier visibility into issues within sla management and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over sla management, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D04-07-01,unclear_workflow_definition,Design and standardize Quality Assurance,"Redesign quality assurance as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that delivery quality is checked before defects reach customers or billing rather than depending on informal practice.",Process Design and Standardisation,Service Quality,Billing Error / Credit Note Leakage,This matters because weak control over quality assurance directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,A documented and owned standard for quality assurance that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for quality assurance."
REC-D04-07-02,inconsistent_workflow_execution,Stabilize execution of Quality Assurance,"Stabilize day-to-day execution of quality assurance by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Service Quality,Billing Error / Credit Note Leakage,This matters because weak control over quality assurance directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,"More predictable execution of quality assurance with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in quality assurance, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D04-07-03,weak_workflow_visibility_and_control,Introduce KPI control for Quality Assurance,"Establish a management-control layer for quality assurance with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect billing error / credit note leakage.","Control, Reporting, and Exception Management",Service Quality,Billing Error / Credit Note Leakage,This matters because weak control over quality assurance directly increases the risk of billing error / credit note leakage and reduces management confidence in performance.,Earlier visibility into issues within quality assurance and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over quality assurance, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D04-08-01,unclear_workflow_definition,Design and standardize Change and Scope Control,"Redesign change and scope control as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that scope, change requests, and commercial impacts are approved before work proceeds rather than depending on informal practice.",Process Design and Standardisation,Billing Setup Accuracy,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over change and scope control directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,A documented and owned standard for change and scope control that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for change and scope control."
REC-D04-08-02,inconsistent_workflow_execution,Stabilize execution of Change and Scope Control,"Stabilize day-to-day execution of change and scope control by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Billing Setup Accuracy,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over change and scope control directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,"More predictable execution of change and scope control with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in change and scope control, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D04-08-03,weak_workflow_visibility_and_control,Introduce KPI control for Change and Scope Control,"Establish a management-control layer for change and scope control with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect unbilled / uninvoiced revenue leakage.","Control, Reporting, and Exception Management",Billing Setup Accuracy,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over change and scope control directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,Earlier visibility into issues within change and scope control and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over change and scope control, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D05-01-01,unclear_workflow_definition,Design and standardize Billable Event Definition,"Redesign billable event definition as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that the business knows exactly which events, products, or services create a valid billing trigger rather than depending on informal practice.",Process Design and Standardisation,Invoice Readiness,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over billable event definition directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,A documented and owned standard for billable event definition that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for billable event definition."
REC-D05-01-02,inconsistent_workflow_execution,Stabilize execution of Billable Event Definition,"Stabilize day-to-day execution of billable event definition by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Invoice Readiness,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over billable event definition directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,"More predictable execution of billable event definition with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in billable event definition, including turnaround, quality, rework, SLA adherence, and exception handling."
REC-D05-01-03,weak_workflow_visibility_and_control,Introduce KPI control for Billable Event Definition,"Establish a management-control layer for billable event definition with clear KPI definitions, trusted data, thresholds, exception ownership, and structured review so issues can be identified early and corrected before they materially affect unbilled / uninvoiced revenue leakage.","Control, Reporting, and Exception Management",Invoice Readiness,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over billable event definition directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,Earlier visibility into issues within billable event definition and faster corrective action through KPI-based management.,"Look for trusted KPI visibility over billable event definition, including metric definitions, review cadence, escalation, and closure of corrective actions."
REC-D05-02-01,unclear_workflow_definition,Design and standardize Delivery-to-Billing Trigger,"Redesign delivery-to-billing trigger as a controlled operating process. Define the scope, trigger points, required inputs, roles, decision rights, system touchpoints, handoff rules, and evidence standards so that completed work or billable milestones are converted into bill-ready signals immediately rather than depending on informal practice.",Process Design and Standardisation,Delivery-to-Billing Handoff,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over delivery-to-billing trigger directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,A documented and owned standard for delivery-to-billing trigger that teams can follow consistently.,"Look for documented standards, ownership, decision rights, entry/exit criteria, required systems, and handoff rules for delivery-to-billing trigger."
REC-D05-02-02,inconsistent_workflow_execution,Stabilize execution of Delivery-to-Billing Trigger,"Stabilize day-to-day execution of delivery-to-billing trigger by removing avoidable manual failure points, clarifying turnaround and quality standards, and coaching teams on consistent adoption so the workflow can operate with less delay, rework, and commercial risk.",Execution Stabilisation,Delivery-to-Billing Handoff,Unbilled / Uninvoiced Revenue Leakage,This matters because weak control over delivery-to-billing trigger directly increases the risk of unbilled / uninvoiced revenue leakage and reduces management confidence in performance.,"More predictable execution of delivery-to-billing trigger with lower delay, less rework, and cleaner downstream handoffs.","Look for evidence of real operating discipline in delivery-to-billing trigger, including turnaround, quality, rework, SLA adherence, and exception handling."
